yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,majorityStatusAtExploit,majorityEntry,citizenship,meansOfControlDebtBondage,meansOfControlTakesEarnings,meansOfControlRestrictsFinancialAccess,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlFalsePromises,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlRestrictsMedicalCare,meansOfControlExcessiveWorkingHours,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,meansOfControlWithholdsNecessities,meansOfControlWithholdsDocuments,meansOfControlOther,meansOfControlNotSpecified,meansOfControlConcatenated,isForcedLabour,isSexualExploit,isOtherExploit,isSexAndLabour,isForcedMarriage,isForcedMilitary,isOrganRemoval,isSlaveryAndPractices,typeOfExploitConcatenated,typeOfLabourAgriculture,typeOfLabourAquafarming,typeOfLabourBegging,typeOfLabourConstruction,typeOfLabourDomesticWork,typeOfLabourHospitality,typeOfLabourIllicitActivities,typeOfLabourManufacturing,typeOfLabourMiningOrDrilling,typeOfLabourPeddling,typeOfLabourTransportation,typeOfLabourOther,typeOfLabourNotSpecified,typeOfLabourConcatenated,typeOfSexProstitution,typeOfSexPornography,typeOfSexRemoteInteractiveServices,typeOfSexPrivateSexualServices,typeOfSexConcatenated,isAbduction,RecruiterRelationship,CountryOfExploitation,recruiterRelationIntimatePartner,recruiterRelationFriend,recruiterRelationFamily,recruiterRelationOther,recruiterRelationUnknown,record_id,Entity,Code,Year,"16.2.2 - Detected victims of human trafficking, by age and sex (number) - VC_HTF_DETV - under 18 years old - Female"
2003,Case Management,Female,24--26,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,BA,0.0,0.0,0.0,0.0,1.0,43,Bolivia,BOL,2017,141
2003,Case Management,Female,24--26,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,,,,,,,,,,,,,,,,,,,,,,BA,0.0,0.0,0.0,0.0,1.0,44,Bolivia,BOL,2018,105
2003,Case Management,Female,24--26,Adult,,,UA,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,BA,0.0,0.0,0.0,0.0,1.0,45,Bolivia,BOL,2019,37
2003,Case Management,Female,27--29,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,46,Bolivia,BOL,2020,32
2003,Case Management,Female,30--38,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,47,Bolivia,BOL,2021,47
2003,Case Management,Female,,,,,CO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,Sexual exploitation,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,48,Bolivia,BOL,2022,35
2003,Case Management,Male,,,,,CO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,Sexual exploitation,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,49,Bosnia and Herzegovina,BIH,2011,7
2004,Case Management,Female,18--20,Adult,,,BY,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,RU,0.0,0.0,0.0,0.0,1.0,50,Bosnia and Herzegovina,BIH,2014,13
2004,Case Management,Female,18--20,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,MD,0.0,0.0,0.0,0.0,1.0,51,Bosnia and Herzegovina,BIH,2021,22
2004,Case Management,Female,18--20,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,52,Brazil,BRA,2018,5
